fabricante,modelo,cilindrada,ano,cilindros,transmissao,tracao,cidade,rodovia,combustivel,classe
audi,a4,1.8,1999,4,auto(l5),d,18,29,p,compacto
audi,a4,1.8,1999,4,manual(m5),d,21,29,p,compacto
audi,a4,2,2008,4,manual(m6),d,20,31,p,compacto
audi,a4,2,2008,4,auto(av),d,21,30,p,compacto
audi,a4,2.8,1999,6,auto(l5),d,16,26,p,compacto
audi,a4,2.8,1999,6,manual(m5),d,18,26,p,compacto
audi,a4,3.1,2008,6,auto(av),d,18,27,p,compacto
audi,a4 quattro,1.8,1999,4,manual(m5),4,18,26,p,compacto
audi,a4 quattro,1.8,1999,4,auto(l5),4,16,25,p,compacto
audi,a4 quattro,2,2008,4,manual(m6),4,20,28,p,compacto
audi,a4 quattro,2,2008,4,auto(s6),4,19,27,p,compacto
audi,a4 quattro,2.8,1999,6,auto(l5),4,15,25,p,compacto
audi,a4 quattro,2.8,1999,6,manual(m5),4,17,25,p,compacto
audi,a4 quattro,3.1,2008,6,auto(s6),4,17,25,p,compacto
audi,a4 quattro,3.1,2008,6,manual(m6),4,15,25,p,compacto
audi,a6 quattro,2.8,1999,6,auto(l5),4,15,24,p,médio
audi,a6 quattro,3.1,2008,6,auto(s6),4,17,25,p,médio
audi,a6 quattro,4.2,2008,8,auto(s6),4,16,23,p,médio
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),t,14,20,r,suv
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),t,11,15,e,suv
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),t,14,20,r,suv
chevrolet,c1500 suburban 2wd,5.7,1999,8,auto(l4),t,13,17,r,suv
chevrolet,c1500 suburban 2wd,6,2008,8,auto(l4),t,12,17,r,suv
chevrolet,corvette,5.7,1999,8,manual(m6),t,16,26,p,2 assentos
chevrolet,corvette,5.7,1999,8,auto(l4),t,15,23,p,2 assentos
chevrolet,corvette,6.2,2008,8,manual(m6),t,16,26,p,2 assentos
chevrolet,corvette,6.2,2008,8,auto(s6),t,15,25,p,2 assentos
chevrolet,corvette,7,2008,8,manual(m6),t,15,24,p,2 assentos
chevrolet,k1500 tahoe 4wd,5.3,2008,8,auto(l4),4,14,19,r,suv
chevrolet,k1500 tahoe 4wd,5.3,2008,8,auto(l4),4,11,14,e,suv
chevrolet,k1500 tahoe 4wd,5.7,1999,8,auto(l4),4,11,15,r,suv
chevrolet,k1500 tahoe 4wd,6.5,1999,8,auto(l4),4,14,17,d,suv
chevrolet,malibu,2.4,1999,4,auto(l4),d,19,27,r,médio
chevrolet,malibu,2.4,2008,4,auto(l4),d,22,30,r,médio
chevrolet,malibu,3.1,1999,6,auto(l4),d,18,26,r,médio
chevrolet,malibu,3.5,2008,6,auto(l4),d,18,29,r,médio
chevrolet,malibu,3.6,2008,6,auto(s6),d,17,26,r,médio
dodge,caravan 2wd,2.4,1999,4,auto(l3),d,18,24,r,minivan
dodge,caravan 2wd,3,1999,6,auto(l4),d,17,24,r,minivan
dodge,caravan 2wd,3.3,1999,6,auto(l4),d,16,22,r,minivan
dodge,caravan 2wd,3.3,1999,6,auto(l4),d,16,22,r,minivan
dodge,caravan 2wd,3.3,2008,6,auto(l4),d,17,24,r,minivan
dodge,caravan 2wd,3.3,2008,6,auto(l4),d,17,24,r,minivan
dodge,caravan 2wd,3.3,2008,6,auto(l4),d,11,17,e,minivan
dodge,caravan 2wd,3.8,1999,6,auto(l4),d,15,22,r,minivan
dodge,caravan 2wd,3.8,1999,6,auto(l4),d,15,21,r,minivan
dodge,caravan 2wd,3.8,2008,6,auto(l6),d,16,23,r,minivan
dodge,caravan 2wd,4,2008,6,auto(l6),d,16,23,r,minivan
dodge,dakota pickup 4wd,3.7,2008,6,manual(m6),4,15,19,r,pickup
dodge,dakota pickup 4wd,3.7,2008,6,auto(l4),4,14,18,r,pickup
dodge,dakota pickup 4wd,3.9,1999,6,auto(l4),4,13,17,r,pickup
dodge,dakota pickup 4wd,3.9,1999,6,manual(m5),4,14,17,r,pickup
dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,14,19,r,pickup
dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,14,19,r,pickup
dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,9,12,e,pickup
dodge,dakota pickup 4wd,5.2,1999,8,manual(m5),4,11,17,r,pickup
dodge,dakota pickup 4wd,5.2,1999,8,auto(l4),4,11,15,r,pickup
dodge,durango 4wd,3.9,1999,6,auto(l4),4,13,17,r,suv
dodge,durango 4wd,4.7,2008,8,auto(l5),4,13,17,r,suv
dodge,durango 4wd,4.7,2008,8,auto(l5),4,9,12,e,suv
dodge,durango 4wd,4.7,2008,8,auto(l5),4,13,17,r,suv
dodge,durango 4wd,5.2,1999,8,auto(l4),4,11,16,r,suv
dodge,durango 4wd,5.7,2008,8,auto(l5),4,13,18,r,suv
dodge,durango 4wd,5.9,1999,8,auto(l4),4,11,15,r,suv
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,12,16,r,pickup
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,9,12,e,pickup
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,13,17,r,pickup
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,13,17,r,pickup
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,12,16,r,pickup
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,9,12,e,pickup
dodge,ram 1500 pickup 4wd,5.2,1999,8,auto(l4),4,11,15,r,pickup
dodge,ram 1500 pickup 4wd,5.2,1999,8,manual(m5),4,11,16,r,pickup
dodge,ram 1500 pickup 4wd,5.7,2008,8,auto(l5),4,13,17,r,pickup
dodge,ram 1500 pickup 4wd,5.9,1999,8,auto(l4),4,11,15,r,pickup
ford,expedition 2wd,4.6,1999,8,auto(l4),t,11,17,r,suv
ford,expedition 2wd,5.4,1999,8,auto(l4),t,11,17,r,suv
ford,expedition 2wd,5.4,2008,8,auto(l6),t,12,18,r,suv
ford,explorer 4wd,4,1999,6,auto(l5),4,14,17,r,suv
ford,explorer 4wd,4,1999,6,manual(m5),4,15,19,r,suv
ford,explorer 4wd,4,1999,6,auto(l5),4,14,17,r,suv
ford,explorer 4wd,4,2008,6,auto(l5),4,13,19,r,suv
ford,explorer 4wd,4.6,2008,8,auto(l6),4,13,19,r,suv
ford,explorer 4wd,5,1999,8,auto(l4),4,13,17,r,suv
ford,f150 pickup 4wd,4.2,1999,6,auto(l4),4,14,17,r,pickup
ford,f150 pickup 4wd,4.2,1999,6,manual(m5),4,14,17,r,pickup
ford,f150 pickup 4wd,4.6,1999,8,manual(m5),4,13,16,r,pickup
ford,f150 pickup 4wd,4.6,1999,8,auto(l4),4,13,16,r,pickup
ford,f150 pickup 4wd,4.6,2008,8,auto(l4),4,13,17,r,pickup
ford,f150 pickup 4wd,5.4,1999,8,auto(l4),4,11,15,r,pickup
ford,f150 pickup 4wd,5.4,2008,8,auto(l4),4,13,17,r,pickup
ford,mustang,3.8,1999,6,manual(m5),t,18,26,r,subcompacto
ford,mustang,3.8,1999,6,auto(l4),t,18,25,r,subcompacto
ford,mustang,4,2008,6,manual(m5),t,17,26,r,subcompacto
ford,mustang,4,2008,6,auto(l5),t,16,24,r,subcompacto
ford,mustang,4.6,1999,8,auto(l4),t,15,21,r,subcompacto
ford,mustang,4.6,1999,8,manual(m5),t,15,22,r,subcompacto
ford,mustang,4.6,2008,8,manual(m5),t,15,23,r,subcompacto
ford,mustang,4.6,2008,8,auto(l5),t,15,22,r,subcompacto
ford,mustang,5.4,2008,8,manual(m6),t,14,20,p,subcompacto
honda,civic,1.6,1999,4,manual(m5),d,28,33,r,subcompacto
honda,civic,1.6,1999,4,auto(l4),d,24,32,r,subcompacto
honda,civic,1.6,1999,4,manual(m5),d,25,32,r,subcompacto
honda,civic,1.6,1999,4,manual(m5),d,23,29,p,subcompacto
honda,civic,1.6,1999,4,auto(l4),d,24,32,r,subcompacto
honda,civic,1.8,2008,4,manual(m5),d,26,34,r,subcompacto
honda,civic,1.8,2008,4,auto(l5),d,25,36,r,subcompacto
honda,civic,1.8,2008,4,auto(l5),d,24,36,g,subcompacto
honda,civic,2,2008,4,manual(m6),d,21,29,p,subcompacto
hyundai,sonata,2.4,1999,4,auto(l4),d,18,26,r,médio
hyundai,sonata,2.4,1999,4,manual(m5),d,18,27,r,médio
hyundai,sonata,2.4,2008,4,auto(l4),d,21,30,r,médio
hyundai,sonata,2.4,2008,4,manual(m5),d,21,31,r,médio
hyundai,sonata,2.5,1999,6,auto(l4),d,18,26,r,médio
hyundai,sonata,2.5,1999,6,manual(m5),d,18,26,r,médio
hyundai,sonata,3.3,2008,6,auto(l5),d,19,28,r,médio
hyundai,tiburon,2,1999,4,auto(l4),d,19,26,r,subcompacto
hyundai,tiburon,2,1999,4,manual(m5),d,19,29,r,subcompacto
hyundai,tiburon,2,2008,4,manual(m5),d,20,28,r,subcompacto
hyundai,tiburon,2,2008,4,auto(l4),d,20,27,r,subcompacto
hyundai,tiburon,2.7,2008,6,auto(l4),d,17,24,r,subcompacto
hyundai,tiburon,2.7,2008,6,manual(m6),d,16,24,r,subcompacto
hyundai,tiburon,2.7,2008,6,manual(m5),d,17,24,r,subcompacto
jeep,grand cherokee 4wd,3,2008,6,auto(l5),4,17,22,d,suv
jeep,grand cherokee 4wd,3.7,2008,6,auto(l5),4,15,19,r,suv
jeep,grand cherokee 4wd,4,1999,6,auto(l4),4,15,20,r,suv
jeep,grand cherokee 4wd,4.7,1999,8,auto(l4),4,14,17,r,suv
jeep,grand cherokee 4wd,4.7,2008,8,auto(l5),4,9,12,e,suv
jeep,grand cherokee 4wd,4.7,2008,8,auto(l5),4,14,19,r,suv
jeep,grand cherokee 4wd,5.7,2008,8,auto(l5),4,13,18,r,suv
jeep,grand cherokee 4wd,6.1,2008,8,auto(l5),4,11,14,p,suv
land rover,range rover,4,1999,8,auto(l4),4,11,15,p,suv
land rover,range rover,4.2,2008,8,auto(s6),4,12,18,r,suv
land rover,range rover,4.4,2008,8,auto(s6),4,12,18,r,suv
land rover,range rover,4.6,1999,8,auto(l4),4,11,15,p,suv
lincoln,navigator 2wd,5.4,1999,8,auto(l4),t,11,17,r,suv
lincoln,navigator 2wd,5.4,1999,8,auto(l4),t,11,16,p,suv
lincoln,navigator 2wd,5.4,2008,8,auto(l6),t,12,18,r,suv
mercury,mountaineer 4wd,4,1999,6,auto(l5),4,14,17,r,suv
mercury,mountaineer 4wd,4,2008,6,auto(l5),4,13,19,r,suv
mercury,mountaineer 4wd,4.6,2008,8,auto(l6),4,13,19,r,suv
mercury,mountaineer 4wd,5,1999,8,auto(l4),4,13,17,r,suv
nissan,altima,2.4,1999,4,manual(m5),d,21,29,r,compacto
nissan,altima,2.4,1999,4,auto(l4),d,19,27,r,compacto
nissan,altima,2.5,2008,4,auto(av),d,23,31,r,médio
nissan,altima,2.5,2008,4,manual(m6),d,23,32,r,médio
nissan,altima,3.5,2008,6,manual(m6),d,19,27,p,médio
nissan,altima,3.5,2008,6,auto(av),d,19,26,p,médio
nissan,maxima,3,1999,6,auto(l4),d,18,26,r,médio
nissan,maxima,3,1999,6,manual(m5),d,19,25,r,médio
nissan,maxima,3.5,2008,6,auto(av),d,19,25,p,médio
nissan,pathfinder 4wd,3.3,1999,6,auto(l4),4,14,17,r,suv
nissan,pathfinder 4wd,3.3,1999,6,manual(m5),4,15,17,r,suv
nissan,pathfinder 4wd,4,2008,6,auto(l5),4,14,20,p,suv
nissan,pathfinder 4wd,5.6,2008,8,auto(s5),4,12,18,p,suv
pontiac,grand prix,3.1,1999,6,auto(l4),d,18,26,r,médio
pontiac,grand prix,3.8,1999,6,auto(l4),d,16,26,p,médio
pontiac,grand prix,3.8,1999,6,auto(l4),d,17,27,r,médio
pontiac,grand prix,3.8,2008,6,auto(l4),d,18,28,r,médio
pontiac,grand prix,5.3,2008,8,auto(s4),d,16,25,p,médio
subaru,forester awd,2.5,1999,4,manual(m5),4,18,25,r,suv
subaru,forester awd,2.5,1999,4,auto(l4),4,18,24,r,suv
subaru,forester awd,2.5,2008,4,manual(m5),4,20,27,r,suv
subaru,forester awd,2.5,2008,4,manual(m5),4,19,25,p,suv
subaru,forester awd,2.5,2008,4,auto(l4),4,20,26,r,suv
subaru,forester awd,2.5,2008,4,auto(l4),4,18,23,p,suv
subaru,impreza awd,2.2,1999,4,auto(l4),4,21,26,r,subcompacto
subaru,impreza awd,2.2,1999,4,manual(m5),4,19,26,r,subcompacto
subaru,impreza awd,2.5,1999,4,manual(m5),4,19,26,r,subcompacto
subaru,impreza awd,2.5,1999,4,auto(l4),4,19,26,r,subcompacto
subaru,impreza awd,2.5,2008,4,auto(s4),4,20,25,p,compacto
subaru,impreza awd,2.5,2008,4,auto(s4),4,20,27,r,compacto
subaru,impreza awd,2.5,2008,4,manual(m5),4,19,25,p,compacto
subaru,impreza awd,2.5,2008,4,manual(m5),4,20,27,r,compacto
toyota,4runner 4wd,2.7,1999,4,manual(m5),4,15,20,r,suv
toyota,4runner 4wd,2.7,1999,4,auto(l4),4,16,20,r,suv
toyota,4runner 4wd,3.4,1999,6,auto(l4),4,15,19,r,suv
toyota,4runner 4wd,3.4,1999,6,manual(m5),4,15,17,r,suv
toyota,4runner 4wd,4,2008,6,auto(l5),4,16,20,r,suv
toyota,4runner 4wd,4.7,2008,8,auto(l5),4,14,17,r,suv
toyota,camry,2.2,1999,4,manual(m5),d,21,29,r,médio
toyota,camry,2.2,1999,4,auto(l4),d,21,27,r,médio
toyota,camry,2.4,2008,4,manual(m5),d,21,31,r,médio
toyota,camry,2.4,2008,4,auto(l5),d,21,31,r,médio
toyota,camry,3,1999,6,auto(l4),d,18,26,r,médio
toyota,camry,3,1999,6,manual(m5),d,18,26,r,médio
toyota,camry,3.5,2008,6,auto(s6),d,19,28,r,médio
toyota,camry solara,2.2,1999,4,auto(l4),d,21,27,r,compacto
toyota,camry solara,2.2,1999,4,manual(m5),d,21,29,r,compacto
toyota,camry solara,2.4,2008,4,manual(m5),d,21,31,r,compacto
toyota,camry solara,2.4,2008,4,auto(s5),d,22,31,r,compacto
toyota,camry solara,3,1999,6,auto(l4),d,18,26,r,compacto
toyota,camry solara,3,1999,6,manual(m5),d,18,26,r,compacto
toyota,camry solara,3.3,2008,6,auto(s5),d,18,27,r,compacto
toyota,corolla,1.8,1999,4,auto(l3),d,24,30,r,compacto
toyota,corolla,1.8,1999,4,auto(l4),d,24,33,r,compacto
toyota,corolla,1.8,1999,4,manual(m5),d,26,35,r,compacto
toyota,corolla,1.8,2008,4,manual(m5),d,28,37,r,compacto
toyota,corolla,1.8,2008,4,auto(l4),d,26,35,r,compacto
toyota,land cruiser wagon 4wd,4.7,1999,8,auto(l4),4,11,15,r,suv
toyota,land cruiser wagon 4wd,5.7,2008,8,auto(s6),4,13,18,r,suv
toyota,toyota tacoma 4wd,2.7,1999,4,manual(m5),4,15,20,r,pickup
toyota,toyota tacoma 4wd,2.7,1999,4,auto(l4),4,16,20,r,pickup
toyota,toyota tacoma 4wd,2.7,2008,4,manual(m5),4,17,22,r,pickup
toyota,toyota tacoma 4wd,3.4,1999,6,manual(m5),4,15,17,r,pickup
toyota,toyota tacoma 4wd,3.4,1999,6,auto(l4),4,15,19,r,pickup
toyota,toyota tacoma 4wd,4,2008,6,manual(m6),4,15,18,r,pickup
toyota,toyota tacoma 4wd,4,2008,6,auto(l5),4,16,20,r,pickup
volkswagen,gti,2,1999,4,manual(m5),d,21,29,r,compacto
volkswagen,gti,2,1999,4,auto(l4),d,19,26,r,compacto
volkswagen,gti,2,2008,4,manual(m6),d,21,29,p,compacto
volkswagen,gti,2,2008,4,auto(s6),d,22,29,p,compacto
volkswagen,gti,2.8,1999,6,manual(m5),d,17,24,r,compacto
volkswagen,jetta,1.9,1999,4,manual(m5),d,33,44,d,compacto
volkswagen,jetta,2,1999,4,manual(m5),d,21,29,r,compacto
volkswagen,jetta,2,1999,4,auto(l4),d,19,26,r,compacto
volkswagen,jetta,2,2008,4,auto(s6),d,22,29,p,compacto
volkswagen,jetta,2,2008,4,manual(m6),d,21,29,p,compacto
volkswagen,jetta,2.5,2008,5,auto(s6),d,21,29,r,compacto
volkswagen,jetta,2.5,2008,5,manual(m5),d,21,29,r,compacto
volkswagen,jetta,2.8,1999,6,auto(l4),d,16,23,r,compacto
volkswagen,jetta,2.8,1999,6,manual(m5),d,17,24,r,compacto
volkswagen,new beetle,1.9,1999,4,manual(m5),d,35,44,d,subcompacto
volkswagen,new beetle,1.9,1999,4,auto(l4),d,29,41,d,subcompacto
volkswagen,new beetle,2,1999,4,manual(m5),d,21,29,r,subcompacto
volkswagen,new beetle,2,1999,4,auto(l4),d,19,26,r,subcompacto
volkswagen,new beetle,2.5,2008,5,manual(m5),d,20,28,r,subcompacto
volkswagen,new beetle,2.5,2008,5,auto(s6),d,20,29,r,subcompacto
volkswagen,passat,1.8,1999,4,manual(m5),d,21,29,p,médio
volkswagen,passat,1.8,1999,4,auto(l5),d,18,29,p,médio
volkswagen,passat,2,2008,4,auto(s6),d,19,28,p,médio
volkswagen,passat,2,2008,4,manual(m6),d,21,29,p,médio
volkswagen,passat,2.8,1999,6,auto(l5),d,16,26,p,médio
volkswagen,passat,2.8,1999,6,manual(m5),d,18,26,p,médio
volkswagen,passat,3.6,2008,6,auto(s6),d,17,26,p,médio
